8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_G17_236_01,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_02,Sc_2013_G_17_E,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G18_236_02,Sc_2013_G_18_E,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
2013_OCP_G17_236_03,Sc_2013_G_17_E,121,121,151,163,146,149,261,261,301,317,293,293,380,380,420,452
2013_OCP_G16_281_03,Sc_2013_G_16_E,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_236_04,Sc_2013_G_17_E,124,124,120,120,149,149,279,279,254,254,277,277,380,380,420,420
2013_OCP_G16_281_04,Sc_2013_G_16_E,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_236_05,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_06,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,298,298,293,297,403,403,446,449
2013_OCP_G17_236_07,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_08,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,298,298,293,297,403,403,446,449
2013_OCP_G16_281_08,Sc_2013_G_16_E,121,121,153,153,146,153,256,256,277,301,289,293,397,397,446,452
2013_OCP_G17_236_09,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_10,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_11,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_12,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_236_13,Sc_2013_G_17_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G18_236_13,Sc_2013_G_18_E,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_G17_236_14,Sc_2013_G_17_E,115,115,122,137,139,153,0,0,283,298,293,297,403,403,446,449
