plateId,plate,cell,species,vintage,winery,vineyard,fermRep,hour,timepoint,isolate,isolateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
P05E08,P05,E08,Sc,2013,OCP,G,17,236,E,1,2013_OCP_G17_236_01,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05F08,P05,F08,Sc,2013,OCP,G,17,236,E,2,2013_OCP_G17_236_02,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P06H04,P06,H04,Sc,2013,OCP,G,18,236,E,2,2013_OCP_G18_236_02,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
P05G08,P05,G08,Sc,2013,OCP,G,17,236,E,3,2013_OCP_G17_236_03,121,121,151,163,146,149,261,261,301,317,293,293,380,380,420,452
P05C01,P05,C01,Sc,2013,OCP,G,16,281,E,3,2013_OCP_G16_281_03,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P05H08,P05,H08,Sc,2013,OCP,G,17,236,E,4,2013_OCP_G17_236_04,124,124,120,120,149,149,279,279,254,254,277,277,380,380,420,420
P05D01,P05,D01,Sc,2013,OCP,G,16,281,E,4,2013_OCP_G16_281_04,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P05A09,P05,A09,Sc,2013,OCP,G,17,236,E,5,2013_OCP_G17_236_05,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05B09,P05,B09,Sc,2013,OCP,G,17,236,E,6,2013_OCP_G17_236_06,115,115,122,137,139,153,253,261,298,298,293,297,403,403,446,449
P05C09,P05,C09,Sc,2013,OCP,G,17,236,E,7,2013_OCP_G17_236_07,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05D09,P05,D09,Sc,2013,OCP,G,17,236,E,8,2013_OCP_G17_236_08,115,115,122,137,139,153,253,261,298,298,293,297,403,403,446,449
P05H01,P05,H01,Sc,2013,OCP,G,16,281,E,8,2013_OCP_G16_281_08,121,121,153,153,146,153,256,256,277,301,289,293,397,397,446,452
P05E09,P05,E09,Sc,2013,OCP,G,17,236,E,9,2013_OCP_G17_236_09,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05F09,P05,F09,Sc,2013,OCP,G,17,236,E,10,2013_OCP_G17_236_10,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05G09,P05,G09,Sc,2013,OCP,G,17,236,E,11,2013_OCP_G17_236_11,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05H09,P05,H09,Sc,2013,OCP,G,17,236,E,12,2013_OCP_G17_236_12,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05A10,P05,A10,Sc,2013,OCP,G,17,236,E,13,2013_OCP_G17_236_13,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06C06,P06,C06,Sc,2013,OCP,G,18,236,E,13,2013_OCP_G18_236_13,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
P05B10,P05,B10,Sc,2013,OCP,G,17,236,E,14,2013_OCP_G17_236_14,115,115,122,137,139,153,0,0,283,298,293,297,403,403,446,449
P05C10,P05,C10,Sc,2013,OCP,G,17,236,E,15,2013_OCP_G17_236_15,124,124,120,120,149,149,279,279,254,254,277,277,380,380,420,420
P05D10,P05,D10,Sc,2013,OCP,G,17,236,E,16,2013_OCP_G17_236_16,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05E10,P05,E10,Sc,2013,OCP,G,17,236,E,17,2013_OCP_G17_236_17,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P05F10,P05,F10,Sc,2013,OCP,G,17,236,E,18,2013_OCP_G17_236_18,124,124,120,120,149,149,279,279,254,254,277,277,380,380,420,420
P05G10,P05,G10,Sc,2013,OCP,G,17,236,E,19,2013_OCP_G17_236_19,115,115,122,137,139,153,253,261,283,301,293,297,403,403,446,449
