plateId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
P78A07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78A08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78A09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78A10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78A11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78B07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78B08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78B09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78B10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78B11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78B12,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78C07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78C08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78C09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78C10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78C11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78C12,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78D07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78D08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78D09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78D10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78D11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78D12,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78E07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78E08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78E09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78E10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78E11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78E12,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78F07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78F08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78F09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78F10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78F11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78F12,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78G07,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78G08,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78G09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78G11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78G12,124,124,124,124,153,153,258,258,280,280,293,293,388,388,431,431
P78H09,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78H10,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P78H11,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79A01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79A02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79A03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79A05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79A06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79A07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79A08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79A09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79A10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79A11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79A12,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79B01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79B02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79B03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79B04,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79B05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79B06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79B07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79B08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79B09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79B10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79B11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79B12,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79C01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79C02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79C03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79C04,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79C06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79C07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79C08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79C09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79C10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79C11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79C12,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79D01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79D02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79D03,115,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79D05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79D06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79D07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79D08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79D09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79D10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79D11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79D12,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79E02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79E03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79E05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79E06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
