8,1545,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2016SB02_01,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_09,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_17,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_25,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_33,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_02,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_10,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_18,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_26,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_34,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_42,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_03,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_11,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_19,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_27,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_35,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_43,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_04,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_12,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_20,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_28,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_36,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_44,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_05,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_13,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_21,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_29,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_37,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_45,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_06,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_14,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_22,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_30,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_38,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_46,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_07,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_15,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_23,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_39,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_24,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_32,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB02_40,2016_OliverOsoyoos_SB_2_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_01,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_09,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_17,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_33,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_41,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_01,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_09,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_17,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_25,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_33,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_41,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB04_02,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_10,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_18,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_26,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_34,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_42,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_02,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_10,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_18,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
