Plate,Row,Column,plateId,species,subRegion,vintage,vineyard,fermRep,isolate,isolateId,Notes
P78,A,1,P78A01,Sc,OliverOsoyoos,2016,SB,1,1,2016SB01_01,M2 contamination
P78,B,1,P78B01,Sc,OliverOsoyoos,2016,SB,1,2,2016SB01_02,M2 contamination
P78,C,1,P78C01,Sc,OliverOsoyoos,2016,SB,1,3,2016SB01_03,M2 contamination
P78,D,1,P78D01,Sc,OliverOsoyoos,2016,SB,1,4,2016SB01_04,M2 contamination
P78,E,1,P78E01,Sc,OliverOsoyoos,2016,SB,1,5,2016SB01_05,M2 contamination
P78,F,1,P78F01,Sc,OliverOsoyoos,2016,SB,1,6,2016SB01_06,M2 contamination
P78,G,1,P78G01,Sc,OliverOsoyoos,2016,SB,1,7,2016SB01_07,M2 contamination
P78,H,1,P78H01,Sc,OliverOsoyoos,2016,SB,1,8,2016SB01_08,M2 contamination
P78,A,2,P78A02,Sc,OliverOsoyoos,2016,SB,1,9,2016SB01_09,M2 contamination
P78,B,2,P78B02,Sc,OliverOsoyoos,2016,SB,1,10,2016SB01_10,M2 contamination
P78,C,2,P78C02,Sc,OliverOsoyoos,2016,SB,1,11,2016SB01_11,M2 contamination
P78,D,2,P78D02,Sc,OliverOsoyoos,2016,SB,1,12,2016SB01_12,M2 contamination
P78,E,2,P78E02,Sc,OliverOsoyoos,2016,SB,1,13,2016SB01_13,M2 contamination
P78,F,2,P78F02,Sc,OliverOsoyoos,2016,SB,1,14,2016SB01_14,M2 contamination
P78,G,2,P78G02,Sc,OliverOsoyoos,2016,SB,1,15,2016SB01_15,M2 contamination
P78,H,2,P78H02,Sc,OliverOsoyoos,2016,SB,1,16,2016SB01_16,M2 contamination
P78,A,3,P78A03,Sc,OliverOsoyoos,2016,SB,1,17,2016SB01_17,M2 contamination
P78,B,3,P78B03,Sc,OliverOsoyoos,2016,SB,1,18,2016SB01_18,M2 contamination
P78,C,3,P78C03,Sc,OliverOsoyoos,2016,SB,1,19,2016SB01_19,M2 contamination
P78,D,3,P78D03,Sc,OliverOsoyoos,2016,SB,1,20,2016SB01_20,M2 contamination
P78,E,3,P78E03,Sc,OliverOsoyoos,2016,SB,1,21,2016SB01_21,M2 contamination
P78,F,3,P78F03,Sc,OliverOsoyoos,2016,SB,1,22,2016SB01_22,M2 contamination
P78,G,3,P78G03,Sc,OliverOsoyoos,2016,SB,1,23,2016SB01_23,M2 contamination
P78,H,3,P78H03,Sc,OliverOsoyoos,2016,SB,1,24,2016SB01_24,M2 contamination
P78,A,4,P78A04,Sc,OliverOsoyoos,2016,SB,1,25,2016SB01_25,M2 contamination
P78,B,4,P78B04,Sc,OliverOsoyoos,2016,SB,1,26,2016SB01_26,M2 contamination
P78,C,4,P78C04,Sc,OliverOsoyoos,2016,SB,1,27,2016SB01_27,M2 contamination
P78,D,4,P78D04,Sc,OliverOsoyoos,2016,SB,1,28,2016SB01_28,M2 contamination
P78,E,4,P78E04,Sc,OliverOsoyoos,2016,SB,1,29,2016SB01_29,M2 contamination
P78,F,4,P78F04,Sc,OliverOsoyoos,2016,SB,1,30,2016SB01_30,M2 contamination
P78,G,4,P78G04,Sc,OliverOsoyoos,2016,SB,1,31,2016SB01_31,M2 contamination
P78,H,4,P78H04,Sc,OliverOsoyoos,2016,SB,1,32,2016SB01_32,M2 contamination
P78,A,5,P78A05,Sc,OliverOsoyoos,2016,SB,1,33,2016SB01_33,M2 contamination
P78,B,5,P78B05,Sc,OliverOsoyoos,2016,SB,1,34,2016SB01_34,M2 contamination
P78,C,5,P78C05,Sc,OliverOsoyoos,2016,SB,1,35,2016SB01_35,M2 contamination
P78,D,5,P78D05,Sc,OliverOsoyoos,2016,SB,1,36,2016SB01_36,M2 contamination
P78,E,5,P78E05,Sc,OliverOsoyoos,2016,SB,1,37,2016SB01_37,M2 contamination
P78,F,5,P78F05,Sc,OliverOsoyoos,2016,SB,1,38,2016SB01_38,M2 contamination
P78,G,5,P78G05,Sc,OliverOsoyoos,2016,SB,1,39,2016SB01_39,M2 contamination
P78,H,5,P78H05,Sc,OliverOsoyoos,2016,SB,1,40,2016SB01_40,M2 contamination
P78,A,6,P78A06,Sc,OliverOsoyoos,2016,SB,1,41,2016SB01_41,M2 contamination
P78,B,6,P78B06,Sc,OliverOsoyoos,2016,SB,1,42,2016SB01_42,M2 contamination
P78,C,6,P78C06,Sc,OliverOsoyoos,2016,SB,1,43,2016SB01_43,M2 contamination
P78,D,6,P78D06,Sc,OliverOsoyoos,2016,SB,1,44,2016SB01_44,M2 contamination
